Systemdate,Applewood.InfoHighDump.signal_level,Applewood.InfoHighDump.latency_max_ms,Applewood.InfoHighDump.latency_packet_loss_count,Applewood.InfoHighDump.lte_state,Applewood.InfoHighDump.rssi,Applewood.InfoHighDump.rsrq,Applewood.InfoHighDump.rsrp,Applewood.InfoHighDump.rx_channel,Applewood.InfoHighDump.tx_channel,Applewood.InfoHighDump.band
2026-01-30T01:31:47,31,42,0,4,-48,-13,-82,66961,131697,eutran-66
2026-01-30T01:32:02,31,42,0,4,-51,-12,-81,66961,131697,eutran-66
2026-01-30T01:32:17,31,42,0,4,-51,-12,-81,66961,131697,eutran-66
2026-01-30T01:32:33,31,42,0,4,-47,-15,-82,66961,131697,eutran-66
2026-01-30T01:32:48,29,63,0,4,-54,-10,-82,66961,131697,eutran-66
2026-01-30T01:33:03,30,63,0,4,-53,-13,-81,66961,131697,eutran-66
2026-01-30T01:33:14,30,63,0,4,-53,-13,-81,66961,131697,eutran-66
2026-01-30T01:33:29,31,63,0,4,-47,-14,-82,66961,131697,eutran-66
2026-01-30T01:33:48,31,63,0,4,-48,-14,-81,66961,131697,eutran-66
2026-01-30T01:34:03,31,63,0,4,-50,-14,-82,66961,131697,eutran-66
2026-01-30T01:34:18,31,63,0,4,-49,-13,-83,66961,131697,eutran-66
2026-01-30T01:34:33,31,63,0,4,-51,-14,-82,66961,131697,eutran-66
2026-01-30T01:34:48,31,63,0,4,-49,-14,-81,66961,131697,eutran-66
2026-01-30T01:35:03,30,63,0,4,-53,-11,-81,66961,131697,eutran-66
2026-01-30T01:35:18,30,63,0,4,-53,-11,-81,66961,131697,eutran-66
2026-01-30T01:35:33,31,63,0,4,-49,-12,-81,66961,131697,eutran-66
2026-01-30T01:35:48,30,63,0,4,-53,-11,-83,66961,131697,eutran-66
2026-01-30T01:36:03,29,63,0,4,-54,-11,-82,66961,131697,eutran-66
2026-01-30T01:36:18,31,63,0,4,-49,-13,-82,66961,131697,eutran-66
2026-01-30T01:36:33,31,63,0,4,-52,-11,-81,66961,131697,eutran-66
2026-01-30T01:36:48,31,63,0,4,-48,-14,-81,66961,131697,eutran-66
2026-01-30T01:37:03,31,63,0,4,-47,-15,-81,66961,131697,eutran-66
2026-01-30T01:37:18,31,63,0,4,-51,-12,-81,66961,131697,eutran-66
2026-01-30T01:37:33,31,63,0,4,-48,-13,-82,66961,131697,eutran-66
2026-01-30T01:37:48,31,63,0,4,-52,-14,-82,66961,131697,eutran-66
2026-01-30T01:38:03,30,63,0,4,-53,-13,-82,66961,131697,eutran-66
